"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (EUR)",Término,Impressões,"CPM (custo por 1.000 impressões) (EUR)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (EUR)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (EUR)","Visualizações da página de destino","Custo por visualização da página de destino (EUR)"
2026-01-01,2026-03-31,"[LEAD GENS] Implantes Nicaela",inactive,"Clique de 7 dias ou visualização de 1 dia",116,actions:leadgen.other,48190,3.424154,8.98431034,"Usando o orçamento do conjunto de anúncios",0,1042.18,Contínuo,165010,6.31586,3371,,0.30916,2.042906,4175,2.53015,0.249624,53,19.663774
2026-01-01,2026-03-31,"[LEAD GEN] Transplante capilar",active,"Clique de 7 dias ou visualização de 1 dia",242,actions:leadgen.other,102234,3.655457,5.27772727,"Usando o orçamento do conjunto de anúncios",0,1277.21,Contínuo,373712,3.417632,2834,,0.450674,0.758338,4970,1.329901,0.256984,,
2026-01-01,2026-03-31,"[TRÁFEGO] Procura-se Luna",inactive,"Clique de 7 dias ou visualização de 1 dia",359,actions:link_click,18220,1.11674,0.0856546,"Usando o orçamento do conjunto de anúncios",0,30.75,Contínuo,20347,1.511279,359,,0.085655,1.764388,624,3.066791,0.049279,,
